Bit Position,Bit description,Bit Type
241,>= 1 any ring size 9,Rings in a Canonic Extended Smallest Set of Rings
242,>= 1 saturated or aromatic carbon-only ring size 9,Rings in a Canonic Extended Smallest Set of Rings
243,>= 1 saturated or aromatic nitrogen-containing ring size 9,Rings in a Canonic Extended Smallest Set of Rings
244,>= 1 saturated or aromatic heteroatom-containing ring size 9,Rings in a Canonic Extended Smallest Set of Rings
245,>= 1 unsaturated non-aromatic carbon-only ring size 9,Rings in a Canonic Extended Smallest Set of Rings
246,>= 1 unsaturated non-aromatic nitrogen-containing ring size 9,Rings in a Canonic Extended Smallest Set of Rings
247,>= 1 unsaturated non-aromatic heteroatom-containing ring size 9,Rings in a Canonic Extended Smallest Set of Rings
248,>= 1 any ring size 10,Rings in a Canonic Extended Smallest Set of Rings
249,>= 1 saturated or aromatic carbon-only ring size 10,Rings in a Canonic Extended Smallest Set of Rings
250,>= 1 saturated or aromatic nitrogen-containing ring size 10,Rings in a Canonic Extended Smallest Set of Rings
251,>= 1 saturated or aromatic heteroatom-containing ring size 10,Rings in a Canonic Extended Smallest Set of Rings
252,>= 1 unsaturated non-aromatic carbon-only ring size 10,Rings in a Canonic Extended Smallest Set of Rings
253,>= 1 unsaturated non-aromatic nitrogen-containing ring size 10,Rings in a Canonic Extended Smallest Set of Rings
254,>= 1 unsaturated non-aromatic heteroatom-containing ring size 10,Rings in a Canonic Extended Smallest Set of Rings
255,>= 1 aromatic ring,Rings in a Canonic Extended Smallest Set of Rings
256,>= 1 hetero-aromatic ring,Rings in a Canonic Extended Smallest Set of Rings
257,>= 2 aromatic rings,Rings in a Canonic Extended Smallest Set of Rings
258,>= 2 hetero-aromatic rings,Rings in a Canonic Extended Smallest Set of Rings
259,>= 3 aromatic rings,Rings in a Canonic Extended Smallest Set of Rings
260,>= 3 hetero-aromatic rings,Rings in a Canonic Extended Smallest Set of Rings
261,>= 4 aromatic rings,Rings in a Canonic Extended Smallest Set of Rings
262,>= 4 hetero-aromatic rings,Rings in a Canonic Extended Smallest Set of Rings
263,Li-H,Simple Atom Pairs
264,Li-Li,Simple Atom Pairs
265,Li-B,Simple Atom Pairs
266,Li-C,Simple Atom Pairs
267,Li-O,Simple Atom Pairs
268,Li-F,Simple Atom Pairs
269,Li-P,Simple Atom Pairs
270,Li-S,Simple Atom Pairs
271,Li-Cl,Simple Atom Pairs
272,B-H,Simple Atom Pairs
273,B-B,Simple Atom Pairs
274,B-C,Simple Atom Pairs
275,B-N,Simple Atom Pairs
276,B-O,Simple Atom Pairs
277,B-F,Simple Atom Pairs
278,B-Si,Simple Atom Pairs
279,B-P,Simple Atom Pairs
280,B-S,Simple Atom Pairs
281,B-Cl,Simple Atom Pairs
282,B-Br,Simple Atom Pairs
283,C-H,Simple Atom Pairs
284,C-C,Simple Atom Pairs
285,C-N,Simple Atom Pairs
286,C-O,Simple Atom Pairs
287,C-F,Simple Atom Pairs
288,C-Na,Simple Atom Pairs
289,C-Mg,Simple Atom Pairs
290,C-Al,Simple Atom Pairs
291,C-Si,Simple Atom Pairs
292,C-P,Simple Atom Pairs
293,C-S,Simple Atom Pairs
294,C-Cl,Simple Atom Pairs
295,C-As,Simple Atom Pairs
296,C-Se,Simple Atom Pairs
297,C-Br,Simple Atom Pairs
298,C-I,Simple Atom Pairs
299,N-H,Simple Atom Pairs
300,N-N,Simple Atom Pairs
301,N-O,Simple Atom Pairs
302,N-F,Simple Atom Pairs
303,N-Si,Simple Atom Pairs
304,N-P,Simple Atom Pairs
305,N-S,Simple Atom Pairs
306,N-Cl,Simple Atom Pairs
307,N-Br,Simple Atom Pairs
308,O-H,Simple Atom Pairs
309,O-O,Simple Atom Pairs
310,O-Mg,Simple Atom Pairs
311,O-Na,Simple Atom Pairs
312,O-Al,Simple Atom Pairs
313,O-Si,Simple Atom Pairs
314,O-P,Simple Atom Pairs
315,O-K,Simple Atom Pairs
316,F-P,Simple Atom Pairs
317,F-S,Simple Atom Pairs
318,Al-H,Simple Atom Pairs
319,Al-Cl,Simple Atom Pairs
320,Si-H,Simple Atom Pairs
321,Si-Si,Simple Atom Pairs
322,Si-Cl,Simple Atom Pairs
323,P-H,Simple Atom Pairs
324,P-P,Simple Atom Pairs
325,As-H,Simple Atom Pairs
326,As-As,Simple Atom Pairs
327,C(~Br)(~C),Simple Atom Nearest Neighbors
328,C(~Br)(~C)(~C),Simple Atom Nearest Neighbors
329,C(~Br)(~H),Simple Atom Nearest Neighbors
330,C(~Br)(:C),Simple Atom Nearest Neighbors
331,C(~Br)(:N),Simple Atom Nearest Neighbors
332,C(~C)(~C),Simple Atom Nearest Neighbors
333,C(~C)(~C)(~C),Simple Atom Nearest Neighbors
334,C(~C)(~C)(~C)(~C),Simple Atom Nearest Neighbors
335,C(~C)(~C)(~C)(~H),Simple Atom Nearest Neighbors
336,C(~C)(~C)(~C)(~N),Simple Atom Nearest Neighbors
337,C(~C)(~C)(~C)(~O),Simple Atom Nearest Neighbors
338,C(~C)(~C)(~H)(~N),Simple Atom Nearest Neighbors
339,C(~C)(~C)(~H)(~O),Simple Atom Nearest Neighbors
340,C(~C)(~C)(~N),Simple Atom Nearest Neighbors
341,C(~C)(~C)(~O),Simple Atom Nearest Neighbors
342,C(~C)(~Cl),Simple Atom Nearest Neighbors
343,C(~C)(~Cl)(~H),Simple Atom Nearest Neighbors
